code,name,market,type,industry,price,chg,chg_pct,score,A,B,C,D,E,F,S2h,S2m,etf_trust_5d,etf_rank,etf_chip_cnt,etf_vol_ratio,foreign_days,trust_days,broker_days,broker_conc,margin_ratio,short_ratio,big_chg,rsi,trust_d1,trust_d3,trust_d5,broker_names,broker_silent,broker_known,turnover_pct,holding_rising,trust_holding_pct,trust_pullback,volume_ratio,ma_trend,revenue_months,eps_growth,gpm_improving,tags,signal,signal_desc,scan_date
00676R,富邦臺灣加權反1,上市,STOCK,,0,0,0,2,0,0,0,0,0,0,5,-3,0.0,賣超,0,1.2635,0,0,0,0,51.5,0.5,-0.06,24.6,0,0,0,{},0,0,0.0,0,0.0,0,0.61,0,0,0,0,,NONE,,2026-05-08
00678,群益那斯達克生技,上市,STOCK,,0,0,0,30,0,0,0,2,0,4,15,9,0.0,賣超,2,1.1885,0,0,0,0,0.1,0.0,0.0,48.6,0,0,0,{},0,0,-15.0,1,0.0,0,0.41,0,0,0,0,★大戶接手 ★籌碼乾淨 ★融資退場,NONE,,2026-05-08
00679B,元大美債20年,上市,STOCK,,0,0,0,13,3,0,0,0,0,1,5,4,0.0,賣超,1,0.6922,3,0,0,0,0.3,0.0,-0.01,39.4,0,0,0,{},0,0,8.3,1,0.0,0,1.03,0,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00680L,元大美債20正2,上市,STOCK,,0,0,0,11,0,0,0,2,0,0,5,4,0.0,賣超,0,0.7557,0,0,0,0,17.3,0.1,-0.03,43.6,0,0,0,{},0,0,0.0,0,0.0,0,0.7,0,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00681R,元大美債20反1,上市,STOCK,,0,0,0,51,0,0,0,13,0,4,25,9,0.0,賣超,2,1.0689,0,0,0,0,1.0,0.0,12.19,51.9,0,0,0,{},0,0,0.0,1,0.0,0,0.05,1,0,0,0,★籌碼集中 ★大戶接手 ★籌碼乾淨 ★融資退場,NONE,,2026-05-08
00682U,期元大美元指數,上市,STOCK,,0,0,0,35,0,0,0,10,0,1,15,9,0.0,賣超,1,0.0484,0,0,0,0,0.3,0.0,0.05,52.7,0,0,0,{},0,0,0.0,1,0.0,0,2.38,0,0,0,0,★大戶接手 ★籌碼乾淨 ★融資退場,NONE,,2026-05-08
00683L,期元大美元指正2,上市,STOCK,,0,0,0,25,0,0,0,2,0,4,15,4,0.0,賣超,2,0.8271,0,0,0,0,4.6,0.0,8.36,45.3,0,0,0,{},0,0,-95.1,1,0.0,0,0.81,0,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00684R,期元大美元指反1,上市,STOCK,,0,0,0,35,0,0,0,10,0,1,15,9,0.0,賣超,1,0.0618,0,0,0,0,0.9,0.0,0.0,52.4,0,0,0,{},0,0,0.0,0,0.0,0,0.16,0,0,0,0,★大戶接手 ★籌碼乾淨 ★融資退場,NONE,,2026-05-08
00685L,群益臺灣加權正2,上市,STOCK,,0,0,0,23,0,0,0,14,0,0,5,4,0.0,賣超,0,1.0025,0,0,0,0,3.5,0.1,-1.94,75.6,0,0,0,{},0,0,-1.2,0,0.0,0,1.51,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00686R,群益臺灣加權反1,上市,STOCK,,0,0,0,6,0,0,0,0,0,1,5,0,0.0,賣超,1,0.9105,0,0,0,0,41.8,0.1,-0.21,30.4,0,0,0,{},0,0,0.0,1,0.0,0,0.43,0,0,0,0,,NONE,,2026-05-08
